rainfall_mm,soil_quality_index,farm_size_hectares,sunlight_hours,fertilizer_kg,crop_yield
1214,10,786,6,2939,507
550,5,280,5,1861,202
823,10,615,11,2091,393
1288,4,675,9,1368,410
640,6,403,10,2180,275
969,6,806,4,1146,465
1286,2,511,4,2992,356
1857,2,601,5,2713,413
1463,4,813,6,148,460
1507,1,93,4,561,103
872,9,374,8,2737,285
993,7,895,6,435,499
1250,7,558,4,1481,359
1679,3,351,11,1245,256
790,3,848,9,458,462
1667,1,416,12,2493,309
605,3,434,6,292,246
1943,3,753,12,1539,471
1169,4,102,12,1500,123
501,4,857,4,855,467
1088,3,623,6,1784,384
1143,10,421,9,2625,316
589,8,441,11,927,272
1868,8,687,7,989,434
849,1,168,8,752,125
1982,7,23,12,2555,135
1786,2,382,9,2433,296
1874,1,234,10,2021,215
1631,3,514,10,950,330
1562,4,82,7,210,99
1408,6,258,7,719,196
658,10,520,7,892,316
1458,5,612,8,2197,402
811,4,225,8,1257,169
1764,8,982,11,687,573
944,4,611,12,2743,396
797,10,550,5,2817,374
1451,2,956,10,1409,553
535,3,826,4,2057,475
1607,6,948,4,2461,582
1975,8,997,7,2753,628
1908,8,229,10,396,195
1695,9,849,5,1729,526
1899,7,736,5,668,451
1885,2,230,4,1287,200
1058,8,398,5,931,264
1390,7,563,10,709,350
640,8,656,12,115,365
1386,3,51,9,1469,101
1641,7,685,5,171,408
1800,10,882,12,369,522
1225,9,292,10,386,207
1743,3,67,4,165,93
1549,10,823,12,979,497
1020,6,843,5,167,466
509,2,546,7,1316,317
1483,2,82,12,1502,119
877,5,894,7,1073,503
1181,5,932,6,607,522
1083,7,138,4,2984,174
651,2,608,10,1225,351
1219,7,851,9,985,495
1572,5,435,7,2941,332
1677,6,957,9,2569,591
1358,8,674,9,2087,434
1816,10,703,7,874,442
549,4,134,9,2625,143
1163,7,76,11,1025,106
1030,6,15,6,219,53
1583,10,646,7,2038,430
1690,2,323,4,587,226
1725,8,335,7,2225,278
1356,10,574,12,540,358
645,9,587,11,561,341
1414,5,835,7,711,483
1492,10,515,10,1417,350
1962,4,91,6,1759,146
741,6,608,12,1016,358
1080,8,11,7,2756,108
1186,3,213,5,105,149
982,10,671,8,780,399
1631,1,814,5,2418,505
1749,4,413,9,1743,301
1172,4,112,4,2958,157
1130,1,545,9,2706,361
1160,9,377,7,198,244
1161,3,221,6,625,162
1955,5,586,5,2341,407
1304,6,970,10,1280,561
918,8,218,12,1789,188
1487,6,772,6,1238,466
1978,3,906,9,495,527
1683,6,126,12,869,142
1149,1,637,5,1926,392
1468,4,758,10,1645,463
1089,6,487,8,2892,345
1600,7,114,8,782,133
1008,10,504,10,1656,334
940,3,780,12,114,426
1777,9,55,7,2515,148
1420,7,832,12,2785,528
1269,1,340,12,3000,269
1843,2,225,7,1336,197
762,1,991,6,2847,576
1897,9,969,5,104,560
1136,9,501,12,2378,349
1690,7,822,5,2008,514
958,10,931,9,1525,544
1498,3,854,8,1707,511
1803,5,458,8,2733,347
1199,4,545,7,268,321
801,7,520,9,2908,355
1741,9,467,8,891,320
1625,2,556,7,1099,351
1053,8,545,12,251,324
787,9,549,9,2371,362
1690,10,493,6,603,328
1120,10,985,9,1673,578
1505,9,25,4,2191,118
535,10,580,8,2844,382
1243,7,986,9,603,555
852,9,252,11,942,188
572,9,959,12,450,523
1147,3,216,6,2170,190
1876,4,921,5,1759,558
1593,2,280,7,697,204
924,10,770,11,1166,455
1498,3,788,11,2613,496
1207,5,714,6,139,405
1060,5,856,7,2450,518
1327,6,739,6,274,425
1455,7,124,5,1098,140
1016,7,589,7,1584,369
927,1,308,9,2768,238
659,2,846,8,1316,472
648,9,492,6,2391,330
1275,10,406,5,935,278
1753,2,403,12,2427,306
566,6,84,4,1159,93
1513,1,987,12,2704,594
880,3,491,4,997,296
557,2,112,10,1663,109
1782,3,306,9,1146,234
841,5,187,10,2866,185
1653,10,224,6,1031,201
1226,6,976,6,2238,580
1695,9,324,4,2537,280
1269,10,48,7,2697,135
1113,4,268,5,1351,201
1732,7,725,11,1325,454
853,6,16,6,1473,74
1994,2,58,10,1161,115
615,10,547,10,2880,369
1787,8,170,12,599,166
1161,7,878,9,1822,523
1965,7,185,4,2664,217
952,8,600,11,2215,388
2000,1,11,4,1863,103
786,1,904,6,2270,522
1826,8,464,8,1808,338
1516,4,937,11,435,530
810,5,653,12,1276,386
707,8,285,10,878,196
1117,5,507,12,1285,322
945,10,638,6,2033,407
1169,4,685,8,1566,416
1132,6,809,11,2570,501
554,5,37,4,1661,77
1411,7,342,11,1038,247
1535,10,10,10,903,88
1156,7,197,4,2035,186
1923,4,65,9,733,112
1479,5,556,4,1353,358
1014,3,121,5,1182,119
736,4,807,8,2243,477
1802,4,319,5,1385,248
847,3,45,4,453,61
1126,10,448,9,1259,302
1627,5,738,11,1985,467
1129,5,601,11,1918,382
1771,7,835,11,1066,505
863,4,604,9,2620,387
820,4,586,6,2577,376
785,9,334,4,2684,261
648,6,649,5,1269,380
1607,4,316,8,1647,246
905,2,543,8,2234,346
1477,6,737,4,208,427
955,2,628,4,1468,374
1299,5,118,12,1857,144
1684,6,381,5,1093,273
1512,4,366,10,1617,268
1283,3,190,7,1456,167
959,7,365,10,921,243
1237,2,685,11,1036,403
1008,6,77,8,2796,135
980,4,301,4,290,192
613,6,701,7,2096,422
1248,4,190,6,1032,160
860,4,475,8,241,275
840,4,443,9,1992,293
1269,9,473,5,2987,351
1260,7,690,10,2315,442
1468,3,923,6,665,523
948,3,543,4,1382,332
1334,6,75,6,1562,119
1703,6,30,12,1234,102
1930,4,621,9,843,392
1719,9,393,9,772,280
1989,4,821,7,2986,537
810,9,624,11,630,366
761,4,568,8,1413,342
1942,2,48,10,661,98
905,2,294,12,1633,210
642,5,831,8,2322,490
841,4,611,8,401,346
1839,7,606,7,284,377
1624,5,794,9,609,467
743,6,345,5,2966,265
989,10,197,6,1433,175
511,4,680,4,1469,391
1762,2,252,5,2303,227
1060,10,82,5,2934,150
541,9,488,11,894,295
1177,10,983,11,2579,597
1093,7,570,5,1623,363
1952,4,110,9,860,138
1681,3,523,8,2294,363
1739,10,765,6,2628,506
1985,3,185,8,534,168
633,9,247,8,1642,192
1590,5,919,8,2138,559
1530,3,68,6,1806,121
1447,5,874,6,168,492
572,2,108,7,1729,108
898,4,963,10,2004,556
1928,10,880,5,2333,563
1077,2,963,7,2829,573
1358,2,504,7,2351,342
629,8,956,4,653,524
1430,1,989,11,2160,582
1989,7,523,4,2813,390
1729,5,764,11,1397,471
765,8,306,10,2198,235
1292,1,220,12,599,162
752,7,132,11,2516,152
1321,5,238,8,2871,225
1812,4,603,11,2504,413
663,7,665,6,2994,425
594,10,397,10,1629,268
1332,2,149,7,2403,165
1633,1,550,8,1611,357
835,1,400,12,378,234
1321,1,279,10,1182,204
737,5,768,7,545,426
880,10,21,9,2260,101
1959,7,876,10,935,528
1398,2,398,12,854,261
982,10,346,7,1945,260
1401,8,515,6,1692,348
1548,4,115,11,1612,143
1640,3,41,4,1530,105
981,10,83,12,2514,140
1915,8,180,4,1183,186
1416,2,858,5,2476,524
1493,3,78,11,2875,146
1463,3,822,12,1690,494
1036,10,371,10,2008,276
1602,1,658,6,2867,435
1696,6,442,10,2331,330
1535,2,938,9,1122,540
627,1,109,5,2458,123
591,2,667,6,1661,387
1042,6,18,8,276,57
1345,4,583,7,946,357
1488,6,706,5,1348,435
946,9,38,7,1700,98
889,10,902,11,1704,531
1171,10,123,8,2075,157
542,8,471,8,2156,310
753,1,930,6,335,495
1653,8,152,11,809,157
1583,9,399,9,2832,321
1162,6,641,5,893,384
966,10,691,5,2955,452
786,5,166,12,2034,156
1510,6,344,10,1769,264
1990,6,870,12,126,508
1277,9,269,9,2697,244
844,4,91,8,1326,104
1141,2,763,4,184,422
881,9,450,9,1955,307
1189,2,954,9,2613,568
1776,10,181,6,1222,187
1579,9,240,6,1313,210
1986,2,729,6,111,429
956,8,84,6,1112,108
1482,9,279,10,1848,238
582,10,908,5,1976,529
1622,9,635,5,2719,437
648,10,71,6,1417,102
1852,9,883,10,1483,544
1679,2,329,6,1778,253
689,4,111,10,279,89
1382,7,438,12,896,292
762,2,883,7,1567,498
1603,1,731,10,2124,457
899,3,963,12,2588,565
1263,4,264,11,986,197
1108,8,541,11,2568,370
1783,6,579,12,1289,380
1284,2,121,8,1775,137
600,9,994,8,1619,564
1882,2,322,6,2615,272
1903,5,470,8,2860,358
1319,4,717,11,2532,456
1744,7,896,8,2461,562
1319,8,471,7,870,307
919,5,874,11,1378,501
623,10,101,10,1058,109
921,5,61,9,1016,87
1754,2,814,8,2170,506
1586,8,529,8,1881,364
1267,2,821,5,438,460
982,10,107,7,1616,134
1018,6,245,11,2970,224
654,8,910,11,2513,540
591,6,383,4,1495,250
1481,4,590,5,1014,366
954,4,936,8,1953,542
1097,6,566,12,574,339
1009,4,658,10,1546,397
1706,8,243,8,1479,217
885,9,41,4,1583,95
904,1,298,9,2174,220
745,4,647,11,2949,412
1241,4,588,10,900,356
1160,2,551,5,1346,340
1149,6,123,8,963,126
1994,3,213,7,2837,228
1946,7,38,12,1271,116
1400,5,652,4,838,393
564,4,483,9,1474,295
1536,5,706,6,2562,459
712,8,262,12,1081,189
741,3,807,8,2576,482
992,7,914,9,2188,543
1736,6,931,12,1111,551
837,1,395,12,2850,281
672,7,71,11,2226,113
1171,7,524,12,816,327
663,1,439,7,1907,278
964,9,589,9,2691,394
1494,6,546,8,1573,360
996,2,700,8,2621,435
1199,5,150,7,1265,145
894,4,752,5,2441,458
1202,7,309,9,709,218
807,8,684,12,2283,427
682,1,320,4,2631,233
1128,5,480,10,1912,321
1009,3,402,9,1435,265
1045,1,651,6,2961,417
1123,3,454,4,654,278
1093,6,767,7,1755,462
1243,7,818,12,1855,497
1750,8,181,5,145,160
1959,4,585,6,1359,385
1945,3,40,5,1171,106
1053,5,56,5,2345,115
520,9,139,11,2231,147
1053,6,361,6,642,236
896,9,987,10,1551,568
1124,6,854,11,2218,516
604,2,631,6,2667,390
691,5,590,5,2092,366
516,9,67,11,1012,86
1643,8,115,6,1168,145
892,7,821,10,2440,499
924,1,339,4,911,216
628,4,777,9,1588,446
1653,7,833,12,2008,519
1071,7,692,6,1673,424
528,6,392,10,966,242
1620,8,994,9,2527,611
1533,6,171,11,1866,180
741,10,295,6,2409,237
731,3,80,6,679,80
1288,4,776,7,2504,483
1807,3,463,6,1542,321
1214,1,895,12,797,501
1258,10,576,7,2076,386
1301,5,844,9,2590,522
1275,1,406,11,825,259
1225,1,524,11,385,308
699,2,35,8,1991,81
1444,4,322,8,669,224
578,6,135,9,2987,155
1455,8,417,10,2064,308
1355,3,574,10,1613,365
1696,1,207,7,597,167
966,3,820,9,2017,484
1080,3,197,10,804,152
1939,5,707,8,1456,450
1439,4,826,8,661,476
948,4,819,5,2098,486
586,9,725,10,131,400
600,7,493,9,142,280
1531,4,459,4,2016,322
1344,3,532,7,1474,340
1723,6,880,6,1945,541
586,3,363,6,658,217
542,6,995,10,2417,573
1908,9,667,7,1536,438
1958,6,606,11,1042,394
907,4,109,12,1698,123
1163,5,625,6,1470,385
1540,6,957,8,2028,576
647,3,567,7,1736,342
776,8,565,9,2184,364
731,4,287,7,191,176
865,8,702,11,1943,431
1751,10,708,6,284,431
935,10,999,8,827,563
898,3,635,4,1151,372
1734,10,500,9,1671,354
1914,7,264,8,2519,253
998,9,390,11,931,261
1039,4,901,12,444,498
1062,8,551,11,1542,353
941,3,273,11,1319,196
1784,7,619,6,2225,420
1272,3,834,7,266,465
849,7,888,7,363,489
1875,10,338,8,1595,276
1019,10,124,12,1331,138
1843,6,285,12,2871,266
637,2,497,4,1386,298
1491,3,290,11,1629,227
867,6,284,4,1908,217
1743,4,782,5,2659,503
1860,6,852,10,1977,532
1746,1,728,11,1849,454
859,10,905,4,2009,537
1420,1,337,6,2723,266
828,3,220,10,2869,197
1461,8,736,12,1435,456
962,8,932,11,1297,536
1445,4,561,11,2578,383
1462,6,35,12,867,90
1905,8,36,6,2610,142
1335,7,711,11,200,413
668,7,92,4,1832,115
716,4,905,11,2019,521
877,9,955,10,2391,569
618,10,691,11,1471,413
689,6,422,4,204,246
1266,3,176,9,793,147
869,5,709,10,1790,425
648,5,178,8,1410,145
1151,5,810,8,1170,472
1269,8,988,10,1166,570
873,9,238,6,917,180
1280,9,988,9,2368,597
659,6,618,10,1636,372
850,6,376,4,2291,270
1811,9,537,5,989,359
1811,4,800,7,1977,501
1391,6,656,11,1973,420
1749,4,547,9,889,351
1022,1,873,4,652,481
1021,7,533,8,943,329
1282,10,81,10,758,113
772,6,654,9,2984,421
1435,9,115,12,1118,140
1925,7,741,11,2053,482
682,7,894,7,1290,506
987,2,974,8,850,536
1345,9,698,10,2396,454
623,10,291,11,874,201
1484,9,142,8,2911,191
1289,6,543,12,1480,351
913,3,984,7,791,540
1695,1,278,7,2967,250
1811,4,421,11,818,288
1958,3,682,4,333,411
1185,1,628,11,2171,394
612,3,800,8,1504,453
1387,4,874,4,1105,507
621,8,756,7,1469,441
1745,9,27,5,1501,112
538,3,763,7,2669,456
996,6,126,11,2164,147
1279,10,807,8,2392,509
1756,5,803,4,2865,520
1442,6,153,10,2917,189
648,4,726,4,816,405
1920,10,560,12,1662,390
1521,6,938,6,1811,561
1160,7,675,6,1325,411
801,9,697,9,1371,417
1883,10,970,9,2265,606
737,7,762,9,108,418
1146,6,431,4,697,274
1162,1,907,8,122,492
735,2,378,9,2090,256
702,1,655,11,2387,397
755,9,567,4,1708,357
1097,10,59,8,2174,125
1161,10,687,6,1204,421
734,9,115,5,2346,143
1868,7,225,11,2922,240
1033,2,667,10,191,371
1359,6,932,10,950,537
1989,4,434,8,2082,325
1269,1,81,12,1207,104
1040,1,997,8,399,538
712,5,851,5,2443,504
962,2,794,6,2794,484
935,4,768,7,1577,450
782,1,455,8,1404,280
1986,4,934,6,1100,555
1930,6,195,10,1182,190
587,10,79,8,1465,105
1567,4,983,8,2900,603
960,1,159,9,2489,159
777,7,255,10,2209,208
920,2,783,11,875,440
1876,9,547,12,2772,402
1195,3,944,7,1552,544
1014,8,661,8,1781,411
1202,8,108,8,1851,142
518,3,919,11,2403,528
522,4,287,12,2975,226
912,2,572,10,1951,355
1553,4,672,8,1997,429
607,9,953,6,1829,548
1890,2,464,4,1427,320
1804,3,113,12,714,130
1651,4,955,8,344,541
1752,5,610,12,856,384
1634,1,662,7,923,399
635,7,734,8,2927,457
861,10,242,7,2879,223
1709,7,403,5,1946,304
628,9,510,4,1535,321
1784,4,704,11,1340,439
1014,6,260,7,615,183
948,2,530,8,573,308
1627,4,88,9,135,102
1747,2,61,11,1510,116
1373,10,907,11,1892,552
972,5,930,10,1834,540
1533,7,790,7,929,472
1928,1,235,9,1192,200
801,10,60,7,2513,123
730,10,195,10,1285,164
1422,7,43,4,1862,114
1589,10,812,8,1044,493
1436,6,751,7,1611,462
611,6,140,10,530,110
1536,8,641,12,2122,424
1916,8,452,8,958,317
999,6,847,7,329,471
1431,3,768,12,2517,482
1097,5,441,8,277,268
733,2,713,12,1533,412
1101,5,506,11,2715,349
813,9,412,7,1713,281
1065,10,332,10,2940,276
1535,1,219,8,1863,194
708,10,624,7,1874,389
1537,5,338,8,1074,245
1941,6,381,8,181,263
1960,7,469,12,945,325
1900,9,142,12,2909,203
1543,6,844,9,1316,506
1086,5,660,7,717,386
1514,7,130,5,2363,170
1593,1,615,6,2437,405
1734,5,461,5,544,302
1624,2,974,8,1022,559
1197,4,138,9,2699,166
631,7,100,8,292,88
1904,5,613,5,1762,407
1655,6,584,8,388,360
1543,2,38,12,2730,123
1035,3,731,7,1267,427
1513,7,533,5,1530,355
726,2,342,6,1934,234
1677,6,306,6,2070,255
1992,5,139,12,2928,197
1321,10,302,7,995,229
1370,1,182,4,1019,153
904,10,729,4,2711,464
701,4,953,10,2134,547
537,2,33,10,1652,69
1441,4,108,5,1800,140
687,1,415,12,2160,273
1580,2,365,12,1825,270
1440,8,148,8,2487,182
1543,6,512,6,1997,353
772,2,835,6,1899,481
1642,6,183,6,411,160
1082,10,38,9,2880,128
1015,9,940,7,1227,542
1744,7,505,11,438,327
1025,9,664,8,2447,428
835,5,837,4,458,461
1197,7,360,12,2316,275
1578,7,563,4,1272,367
999,3,308,9,2908,247
1399,7,729,4,867,436
1265,1,851,6,2189,508
1035,9,954,8,301,531
661,10,201,10,1792,175
1093,6,681,11,563,396
658,5,73,12,548,76
1711,7,764,9,1012,466
559,5,779,12,897,433
1414,10,673,11,893,416
1842,5,224,12,536,187
710,10,843,7,2016,502
905,7,175,12,1873,165
1163,10,552,10,630,342
1632,7,892,8,664,521
1599,3,241,8,1720,208
1041,3,803,4,1396,465
1837,10,550,5,312,355
1497,3,204,6,1048,172
1640,6,515,11,1227,342
1426,6,343,9,291,231
1367,3,777,8,1503,464
518,3,802,4,2090,463
931,8,313,12,1204,224
1239,8,842,6,804,489
1873,7,446,6,648,305
682,10,332,5,1961,244
612,4,511,7,253,286
1706,4,867,5,1765,526
980,3,923,12,670,509
1669,5,402,10,1884,298
1330,3,815,11,2387,500
1636,8,608,6,2521,418
1262,7,158,9,904,148
975,3,770,9,898,437
1262,9,842,4,710,489
1826,5,414,9,2835,327
1470,9,292,6,2921,265
1519,7,371,6,1906,282
1641,7,388,6,242,261
660,6,207,11,371,142
900,2,565,8,1655,345
697,9,365,7,2573,272
1783,6,549,12,2193,383
1159,8,438,12,2242,314
1570,1,26,4,2211,105
898,5,648,5,2560,411
577,1,388,11,558,224
623,10,689,8,1838,419
574,8,515,10,1532,320
636,8,765,4,2617,468
1101,1,908,8,2957,547
1923,9,85,6,605,129
1336,2,240,5,1809,199
999,9,725,5,1196,433
637,1,971,12,183,509
549,10,257,7,158,167
1472,9,311,7,1144,239
753,4,735,10,1581,429
1209,9,224,5,2304,211
1062,7,167,6,1452,157
1256,6,78,6,1696,121
1949,5,402,9,675,282
1046,9,94,6,2984,155
1825,2,276,8,779,211
1421,2,78,7,302,90
1080,9,620,6,1229,384
1872,3,356,11,417,248
548,8,971,6,1305,543
1416,9,737,9,1738,463
1597,8,936,10,1896,569
1203,4,682,10,505,394
760,1,432,5,2642,292
855,4,615,6,778,355
1783,9,183,7,1370,189
1137,2,686,10,1989,420
1242,3,124,5,1647,137
1818,10,229,6,1743,222
1509,8,965,10,1459,572
1430,6,40,10,1545,105
1140,8,532,6,934,333
1291,7,352,4,2341,274
1836,5,386,6,2455,306
1111,9,139,8,1768,155
1308,4,626,10,2030,400
1705,6,548,7,2653,389
1185,2,748,4,380,420
1887,2,11,9,2822,121
687,2,880,5,1913,501
1484,10,110,6,1032,139
1047,7,542,7,2862,372
1224,2,67,9,707,87
1425,2,398,9,582,256
1931,9,701,10,1346,452
1375,7,950,8,1872,566
1117,3,350,10,2264,259
913,3,870,5,291,473
1865,7,29,4,2935,142
1743,5,264,11,2765,249
1402,10,326,4,2117,266
662,6,47,5,2663,107
1743,8,669,9,406,410
769,9,546,4,631,325
1131,1,395,6,221,236
1405,3,642,10,2796,424
1923,7,937,11,691,553
1705,6,35,7,1575,111
704,7,463,6,158,268
1081,8,690,4,2448,441
1340,6,332,12,2700,271
1751,3,746,9,1673,464
1095,2,522,9,1240,322
749,7,828,12,1910,488
1374,1,782,4,1905,471
1964,3,22,9,498,85
695,4,924,8,2662,543
1189,1,917,9,2952,554
1593,5,569,11,2645,394
1138,10,930,8,1041,539
1922,3,834,5,627,492
1171,2,380,5,2545,279
1726,3,300,8,1874,244
1671,8,341,6,1521,266
1995,6,615,6,1769,413
1443,7,270,11,1650,224
698,6,799,10,535,442
1949,6,880,4,939,528
991,3,214,8,459,151
1395,8,706,12,1252,435
641,7,696,7,963,399
1836,7,959,4,2781,603
664,6,396,11,1750,264
813,5,901,8,1832,520
520,10,830,5,1345,476
1605,8,477,4,2361,348
1654,5,424,6,1015,291
1483,9,78,12,2739,155
804,9,481,4,1898,319
870,1,113,7,2282,129
1352,6,767,11,2901,493
883,7,170,11,485,134
